"Story","Title","Result","Date","Stability","Duration (s)"
"Automation Google Homepage","User can search with �Google Search�","SUCCESS","2020-05-28T10:21:47.495-05:00[America/Bogota]","0.0","19.83"
"Google Homepage Search","User can search by using the suggestions","SUCCESS","2020-05-28T10:22:10.123-05:00[America/Bogota]","0.0","19.34"
